"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"1" 1 "cofeeding_indirect_2021_day_1_meters_25_window_7" "A15w" 0.5 0 0.0190024473615016 1 "Adult" "m" "red"
"14" 1 "cofeeding_indirect_2021_day_1_meters_25_window_7" "A05w" 1 0 0.0184260027103012 1 "Adult" NA "red"
"210" 2 "cofeeding_indirect_2021_day_2_meters_25_window_7" "Y27b" 0.212121212121212 0 0.0458173219036358 1 "Juvenile" NA "red"
"191" 2 "cofeeding_indirect_2021_day_2_meters_25_window_7" "A03w" 0.0606060606060606 0 0.000443393437777121 1 "Adult" "f" "red"
"212" 3 "cofeeding_indirect_2021_day_3_meters_25_window_7" "E05w" 0.142857142857143 0.0769230769230769 0.00600600600600601 1 "Juvenile" "f" "red"
"52" 3 "cofeeding_indirect_2021_day_3_meters_25_window_7" "E02w" 0.0714285714285714 0 0.0015015015015015 1 "Adult" NA "red"
"62" 3 "cofeeding_indirect_2021_day_3_meters_25_window_7" "A32w" 0.0714285714285714 0 0.0045045045045045 1 "Adult" NA "red"
"92" 3 "cofeeding_indirect_2021_day_3_meters_25_window_7" "A33w" 0.214285714285714 0 0.277777777777778 1 "Juvenile" NA "red"
"102" 3 "cofeeding_indirect_2021_day_3_meters_25_window_7" "J17w" 0.214285714285714 0 0.190690690690691 1 "Juvenile" "m" "red"
"132" 3 "cofeeding_indirect_2021_day_3_meters_25_window_7" "E00w" 0.0714285714285714 0 0.0015015015015015 1 "Juvenile" "f" "red"
"103" 4 "cofeeding_indirect_2021_day_4_meters_25_window_7" "J39w" 0.0833333333333333 0 0.0147058823529412 1 "Juvenile" "m" "red"
"54" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "E13w" 0.5 0.0356258742813365 0.0822784810126582 1 "Juvenile" "m" "red"
"84" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "T14w" 0.321428571428571 0.11414825189335 0.040084388185654 0 "Adult" "m" "blue"
"94" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "A10w" 0.178571428571429 0 0.0179324894514768 0 "Adult" NA "blue"
"104" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "A16w" 0.178571428571429 0 0.0253164556962025 1 "Adult" "f" "red"
"117" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "A22w" 0.214285714285714 0 0.0369198312236287 0 "Adult" NA "blue"
"124" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "A55w" 0.214285714285714 0.0922398589065256 0.0105485232067511 1 "Adult" "m" "red"
"134" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "J38w" 0.357142857142857 0.236464756842908 0.0316455696202532 1 "Adult" NA "red"
"143" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "T15w" 0.25 0.216340239799624 0.0168776371308017 0 "Adult" "f" "blue"
"153" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "T53b" 0.214285714285714 0 0.040084388185654 1 "Adult" "m" "red"
"202" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "E11w" 0.428571428571429 0.246682661668656 0.0305907172995781 1 "Juvenile" "m" "red"
"281" 5 "cofeeding_indirect_2021_day_5_meters_25_window_7" "A58w" 0.0357142857142857 0 0.0770042194092827 1 "Juvenile" NA "red"
"20" 1 "cofeeding_indirect_2022_day_1_meters_25_window_7" "E45w" 0.04 0 0.0050761421319797 1 "Juvenile" "f" "red"
"22" 1 "cofeeding_indirect_2022_day_1_meters_25_window_7" "J17w" 0.04 0 0.0139593908629442 1 "Juvenile" "m" "red"
"24" 1 "cofeeding_indirect_2022_day_1_meters_25_window_7" "T50b" 0.2 0.00111111111111111 0.0114213197969543 1 "Adult" "m" "red"
"26" 1 "cofeeding_indirect_2022_day_1_meters_25_window_7" "K39" 0.04 0 0.25507614213198 1 "Adult" "f" "red"
"33" 2 "cofeeding_indirect_2022_day_2_meters_25_window_7" "T99b" 0.032258064516129 0 0.00175592625109745 0 "Adult" "m" "blue"
"71" 2 "cofeeding_indirect_2022_day_2_meters_25_window_7" "E12w" 0.0645161290322581 0 0.00746268656716418 0 "Juvenile" "m" "blue"
"91" 2 "cofeeding_indirect_2022_day_2_meters_25_window_7" "T53b" 0.032258064516129 0 0.00351185250219491 0 "Adult" "m" "blue"
"111" 2 "cofeeding_indirect_2022_day_2_meters_25_window_7" "E06w" 0.032258064516129 0 0.00131694468832309 1 "Adult" "m" "red"
"121" 2 "cofeeding_indirect_2022_day_2_meters_25_window_7" "A53w" 0.032258064516129 0 0.00263388937664618 0 "Juvenile" NA "blue"
