"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "coroosting_direct_2021_day_1_meters_75_window_14" "A05w" 0.925925925925926 0.114581932367338 0.0476653696498054 1 "Adult" NA "red"
"10" 1 "coroosting_direct_2021_day_1_meters_75_window_14" "A15w" 0.703703703703704 0.0107986894028084 0.051556420233463 1 "Adult" "m" "red"
"210" 2 "coroosting_direct_2021_day_2_meters_75_window_14" "A03w" 0.8125 0.00872597791041104 0.0321931589537223 1 "Adult" "f" "red"
"141" 2 "coroosting_direct_2021_day_2_meters_75_window_14" "Y27b" 0.645833333333333 0.00818705350462166 0.0274144869215292 1 "Juvenile" NA "red"
"112" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "A08w" 0.414285714285714 0.0322242619555773 0.00877587758775878 1 "Juvenile" NA "red"
"212" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "E02w" 0.571428571428571 0.00359502185914322 0.0351035103510351 1 "Adult" NA "red"
"311" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "J06w" 0.657142857142857 0.00919296617461987 0.0335283528352835 1 "Adult" "f" "red"
"411" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "J12w" 0.4 0.0101893952717402 0.0108010801080108 0 "Adult" "f" "blue"
"511" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "J16w" 0.328571428571429 0.0106201486755088 0.00787578757875788 1 "Juvenile" "m" "red"
"82" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "A53w" 0.571428571428571 0.0187153213381575 0.0171017101710171 0 "Juvenile" NA "blue"
"102" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "J11w" 0.528571428571429 0.0158792174246456 0.0150765076507651 0 "Juvenile" "m" "blue"
"122" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "A03w" 0.557142857142857 0.00972758745905277 0.0209270927092709 1 "Adult" "f" "red"
"132" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "A39w" 0.442857142857143 0.0155394240763756 0.0123762376237624 1 "Juvenile" "m" "red"
"142" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "A31w" 0.557142857142857 0.0352477787972537 0.018001800180018 1 "Juvenile" "m" "red"
"192" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "E05w" 0.228571428571429 0.00350259866379529 0.00517551755175518 1 "Juvenile" "f" "red"
"213" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "E00w" 0.5 0.00654421095335238 0.0177767776777678 1 "Juvenile" "f" "red"
"262" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "E03w" 0.114285714285714 0 0.00765076507650765 1 "Adult" "m" "red"
"272" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "T71w" 0.257142857142857 0.0130568754825198 0.00562556255625563 1 "Juvenile" NA "red"
"301" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "T91b" 0.128571428571429 0.00214387291931213 0.00202520252025203 1 "Adult" "m" "red"
"361" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "J15w" 0.557142857142857 0.0123915211974138 0.0211521152115212 0 "Adult" NA "blue"
"391" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "A33w" 0.428571428571429 0.0195512584050074 0.0101260126012601 1 "Juvenile" NA "red"
"431" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "E04w" 0.442857142857143 0.00762262182365566 0.0153015301530153 1 "Juvenile" NA "red"
"52" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "E07w" 0.371428571428571 0.00501954626227491 0.0099009900990099 1 "Adult" "m" "red"
"53" 3 "coroosting_direct_2021_day_3_meters_75_window_14" "A02w" 0.371428571428571 0.0069381809995395 0.0099009900990099 1 "Juvenile" NA "red"
