"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "coroosting_direct_2021_day_1_meters_50_window_14" "A05w" 0.814814814814815 0.11693689870328 0.0535714285714286 1 "Adult" NA "red"
"8" 1 "coroosting_direct_2021_day_1_meters_50_window_14" "A15w" 0.592592592592593 0.00548998326776104 0.0467032967032967 1 "Adult" "m" "red"
"210" 2 "coroosting_direct_2021_day_2_meters_50_window_14" "A03w" 0.729166666666667 0.0212085598641493 0.0280090840272521 1 "Adult" "f" "red"
"36" 2 "coroosting_direct_2021_day_2_meters_50_window_14" "Y27b" 0.541666666666667 0.00570423715370524 0.0246025738077214 1 "Juvenile" NA "red"
"112" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A08w" 0.328571428571429 0.0236804482189542 0.00894454382826476 1 "Juvenile" NA "red"
"212" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "E02w" 0.5 0.00662403520294147 0.0408467501490757 1 "Adult" NA "red"
"311" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "J06w" 0.557142857142857 0.0090491494129588 0.0289206917113894 1 "Adult" "f" "red"
"411" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "J12w" 0.285714285714286 0.00920664318296897 0.00834824090638044 0 "Adult" "f" "blue"
"511" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "J16w" 0.285714285714286 0.00975086218260708 0.00834824090638044 1 "Juvenile" "m" "red"
"102" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A53w" 0.471428571428571 0.0317376191950188 0.0152057245080501 0 "Juvenile" NA "blue"
"122" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A31w" 0.442857142857143 0.0417503952982682 0.0155038759689922 1 "Juvenile" "m" "red"
"152" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "E00w" 0.357142857142857 0.00465345708012677 0.0143112701252236 1 "Juvenile" "f" "red"
"192" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "E03w" 0.114285714285714 0 0.00894454382826476 1 "Adult" "m" "red"
"202" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "T71w" 0.157142857142857 0.00259003358566409 0.0050685748360167 1 "Juvenile" NA "red"
"242" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "T91b" 0.128571428571429 0.00407545531371986 0.00268336314847943 1 "Adult" "m" "red"
"301" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "J15w" 0.457142857142857 0.0129086771269629 0.0193798449612403 0 "Adult" NA "blue"
"321" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A03w" 0.442857142857143 0.0112221195111668 0.0175909361955874 1 "Adult" "f" "red"
"341" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A33w" 0.328571428571429 0.0172638447237075 0.00983899821109123 1 "Juvenile" NA "red"
"351" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A39w" 0.342857142857143 0.0137301325959593 0.0125223613595707 1 "Juvenile" "m" "red"
"481" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "J18w" 0.285714285714286 0.00547825212441441 0.011329755515802 1 "Juvenile" NA "red"
"491" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A02w" 0.3 0.00745677827843261 0.00983899821109123 1 "Juvenile" NA "red"
"50" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "E05w" 0.185714285714286 0.00275739982001145 0.00596302921884317 1 "Juvenile" "f" "red"
"51" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "E04w" 0.257142857142857 0.0100084670001021 0.00715563506261181 1 "Juvenile" NA "red"
"52" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "E07w" 0.271428571428571 0.00516087781574514 0.00834824090638044 1 "Adult" "m" "red"
"53" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "J11w" 0.242857142857143 0.00240287952310394 0.0101371496720334 0 "Juvenile" "m" "blue"
"54" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A32w" 0.157142857142857 0.00285048706091066 0.00387596899224806 1 "Adult" NA "red"
"55" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A35w" 0.242857142857143 0.011473681452334 0.00655933214072749 1 "Juvenile" "f" "red"
"60" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "A75w" 0.0285714285714286 0 0.00149075730471079 1 "Adult" NA "red"
"71" 3 "coroosting_direct_2021_day_3_meters_50_window_14" "J17w" 0.228571428571429 0.0114295451625647 0.00566487775790101 1 "Juvenile" "m" "red"
"114" 4 "coroosting_direct_2021_day_4_meters_50_window_14" "J39w" 0.463768115942029 0.0171306176038854 0.012256128064032 1 "Juvenile" "m" "red"
"512" 4 "coroosting_direct_2021_day_4_meters_50_window_14" "A78w" 0.420289855072464 0.0141012583195149 0.0115057528764382 1 "Juvenile" "m" "red"
"216" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "A29w" 0.482758620689655 0.0543819412582618 0.0321375186846039 1 "Adult" "f" "red"
"134" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "A00w" 0.258620689655172 0.0131365036272122 0.0164424514200299 1 "Adult" NA "red"
"164" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "A10w" 0.293103448275862 0.0419481951222083 0.0134529147982063 0 "Adult" NA "blue"
"217" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "A22w" 0.172413793103448 0.00398936382401998 0.00896860986547085 0 "Adult" NA "blue"
"244" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "E13w" 0.258620689655172 0.0113213170768952 0.0171898355754858 1 "Juvenile" "m" "red"
"284" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "T14w" 0.293103448275862 0.0135959703657472 0.023168908819133 0 "Adult" "m" "blue"
"333" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "J38w" 0.103448275862069 0.00131371199882997 0.00597907324364723 1 "Adult" NA "red"
"343" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "E12w" 0.241379310344828 0.00804309877181336 0.0142002989536622 1 "Juvenile" "m" "red"
"373" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "T53b" 0.379310344827586 0.0191040281584915 0.0426008968609865 1 "Adult" "m" "red"
"383" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "E15w" 0.137931034482759 0.00588331981253941 0.00822122571001495 1 "Adult" "m" "red"
"416" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "E11w" 0.258620689655172 0.0312613633990866 0.0119581464872945 1 "Juvenile" "m" "red"
"423" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "A55w" 0.103448275862069 0.000750299386468918 0.00597907324364723 1 "Adult" "m" "red"
"453" 5 "coroosting_direct_2021_day_5_meters_50_window_14" "A16w" 0.275862068965517 0.0329025452941721 0.0127055306427504 1 "Adult" "f" "red"
