"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"14" 1 "cofeeding_direct_2021_day_1_meters_100_window_14" "A05w" 0.923076923076923 0 0.0264948866324562 1 "Adult" NA "red"
"19" 1 "cofeeding_direct_2021_day_1_meters_100_window_14" "A15w" 0.346153846153846 0.16 0.00332095934781818 1 "Adult" "m" "red"
"151" 2 "cofeeding_direct_2021_day_2_meters_100_window_14" "Y27b" 0.222222222222222 0.00572390572390572 0.0186970194148209 1 "Juvenile" NA "red"
"191" 2 "cofeeding_direct_2021_day_2_meters_100_window_14" "A03w" 0.577777777777778 0.0434343434343434 0.0630298058517911 1 "Adult" "f" "red"
"411" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "J06w" 0.60655737704918 0.0406303077614553 0.0144574214763579 1 "Adult" "f" "red"
"69" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "T71w" 0.426229508196721 0 0.0254564009524889 1 "Juvenile" NA "red"
"82" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "J12w" 0.163934426229508 0.111984363541741 0.00223003363949049 0 "Adult" "f" "blue"
"102" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "J17w" 0.655737704918033 0.0133151183970856 0.0370979324942359 1 "Juvenile" "m" "red"
"113" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "E02w" 0.409836065573771 0.0327868852459016 0.032864648297237 1 "Adult" NA "red"
"132" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A35w" 0.672131147540984 0.240399900645802 0.0618550856106134 1 "Juvenile" "f" "red"
"213" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A03w" 0.377049180327869 0 0.0346978115432589 1 "Adult" "f" "red"
"222" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A31w" 0.377049180327869 0 0.0342442453792947 1 "Juvenile" "m" "red"
"232" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A53w" 0.60655737704918 0 0.0535775031182674 0 "Juvenile" NA "blue"
"262" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "J11w" 0.377049180327869 0 0.0292550175756889 0 "Juvenile" "m" "blue"
"272" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "J18w" 0.377049180327869 0 0.0219034660014363 1 "Juvenile" NA "red"
"291" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "J15w" 0.508196721311475 0.00249544626593807 0.0258721699361228 0 "Adult" NA "blue"
"301" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "E07w" 0.377049180327869 0.0908827147351737 0.00600975167252523 1 "Adult" "m" "red"
"321" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "J16w" 0.344262295081967 0 0.0143440299353668 1 "Juvenile" "m" "red"
"341" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A33w" 0.344262295081967 0 0.0330347356087236 1 "Juvenile" NA "red"
"351" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A39w" 0.344262295081967 0 0.0273273613788411 1 "Juvenile" "m" "red"
"381" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "E00w" 0.278688524590164 0.29771071369432 0.00328835468874022 1 "Juvenile" "f" "red"
"391" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "E05w" 0.360655737704918 0.103132969034608 0.00805079941036399 1 "Juvenile" "f" "red"
"50" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A08w" 0.0491803278688525 0.00185792349726776 0.000963828098423858 1 "Juvenile" NA "red"
"51" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "E04w" 0.295081967213115 0.00304189435336976 0.00376081944286956 1 "Juvenile" NA "red"
"58" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A32w" 0.0983606557377049 0.0327868852459016 0.00253241108213327 1 "Adult" NA "red"
"61" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "A02w" 0.0163934426229508 0 0.00105832104924973 1 "Juvenile" NA "red"
"62" 3 "cofeeding_direct_2021_day_3_meters_100_window_14" "T91b" 0.0327868852459016 0 0.000793740786937294 1 "Adult" "m" "red"
"313" 4 "cofeeding_direct_2021_day_4_meters_100_window_14" "A78w" 0.893939393939394 0.064032634032634 0.00530409969647585 1 "Juvenile" "m" "red"
"73" 4 "cofeeding_direct_2021_day_4_meters_100_window_14" "J39w" 0.5 0 0.00798492678464325 1 "Juvenile" "m" "red"
"116" 5 "cofeeding_direct_2021_day_5_meters_100_window_14" "A00w" 0.254237288135593 0 0.0179439611054248 1 "Adult" NA "red"
