"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"10" 1 "cofeeding_direct_2021_day_1_meters_25_window_21" "A05w" 1 0.0113960113960114 0.0303691275167785 1 "Adult" NA "red"
"13" 1 "cofeeding_direct_2021_day_1_meters_25_window_21" "A15w" 0.666666666666667 0.262108262108262 0.00913666870042709 1 "Adult" "m" "red"
"131" 2 "cofeeding_direct_2021_day_2_meters_25_window_21" "A03w" 0.739130434782609 0 0.0554972823495757 1 "Adult" "f" "red"
"161" 2 "cofeeding_direct_2021_day_2_meters_25_window_21" "Y27b" 0.58695652173913 0 0.0488859222529481 1 "Juvenile" NA "red"
"212" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "J18w" 0.377049180327869 0.0722404371584699 0.0244692737430168 1 "Juvenile" NA "red"
"411" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A53w" 0.573770491803279 0.0594678636481915 0.0492364990689013 0 "Juvenile" NA "blue"
"511" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "J12w" 0.131147540983607 0.0221918639951427 0.0051024208566108 0 "Adult" "f" "blue"
"82" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "J06w" 0.508196721311475 0.0466757741347905 0.0129608938547486 1 "Adult" "f" "red"
"122" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "J17w" 0.590163934426229 0.00520947176684882 0.0416387337057728 1 "Juvenile" "m" "red"
"132" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "E02w" 0.377049180327869 0.00571948998178506 0.038659217877095 1 "Adult" NA "red"
"213" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A03w" 0.360655737704918 0 0.0317690875232775 1 "Adult" "f" "red"
"222" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A31w" 0.360655737704918 0 0.0381750465549348 1 "Juvenile" "m" "red"
"232" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A35w" 0.60655737704918 0.0230601092896175 0.0666666666666667 1 "Juvenile" "f" "red"
"242" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "J11w" 0.344262295081967 0 0.0338175046554935 0 "Juvenile" "m" "blue"
"272" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "T71w" 0.344262295081967 0.000218579234972678 0.0222718808193669 1 "Juvenile" NA "red"
"301" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "J15w" 0.508196721311475 0.170696938155955 0.0259217877094972 0 "Adult" NA "blue"
"312" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "E07w" 0.327868852459016 0.0563054037644202 0.0033147113594041 1 "Adult" "m" "red"
"331" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "J16w" 0.344262295081967 0 0.0171694599627561 1 "Juvenile" "m" "red"
"351" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "E05w" 0.311475409836066 0.124945355191257 0.0104655493482309 1 "Juvenile" "f" "red"
"361" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A33w" 0.344262295081967 0.00401249024199844 0.0377281191806331 1 "Juvenile" NA "red"
"371" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A39w" 0.360655737704918 0.0140866510538642 0.0298696461824953 1 "Juvenile" "m" "red"
"451" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "E00w" 0.114754098360656 0.00621129326047359 0.00320297951582868 1 "Juvenile" "f" "red"
"48" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "E03w" 0.0327868852459016 0.00619568045797554 7.4487895716946e-05 1 "Adult" "m" "red"
"53" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A08w" 0.0655737704918033 0 0.00119180633147114 1 "Juvenile" NA "red"
"58" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A32w" 0.0819672131147541 0 0.0033147113594041 1 "Adult" NA "red"
"60" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "E04w" 0.131147540983607 0.127083008066615 0.000446927374301676 1 "Juvenile" NA "red"
"61" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "A02w" 0.0163934426229508 0 0.00163873370577281 1 "Juvenile" NA "red"
"62" 3 "cofeeding_direct_2021_day_3_meters_25_window_21" "T91b" 0.0491803278688525 0 0.00271880819366853 1 "Adult" "m" "red"
"163" 4 "cofeeding_direct_2021_day_4_meters_25_window_21" "A78w" 0.791044776119403 0.0639953330251838 0.00811628872018942 1 "Juvenile" "m" "red"
"183" 4 "cofeeding_direct_2021_day_4_meters_25_window_21" "J39w" 0.522388059701492 0 0.00869602362877438 1 "Juvenile" "m" "red"
"116" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "A00w" 0.333333333333333 0 0.0244505285573047 1 "Adult" NA "red"
"315" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "A55w" 0.587301587301587 0.00271011630458635 0.0460871549167237 1 "Adult" "m" "red"
"415" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "J38w" 0.571428571428571 0.0352089581352254 0.0321317210434254 1 "Adult" NA "red"
"84" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "A22w" 0.444444444444444 0.00486431131592422 0.014259639516313 0 "Adult" NA "blue"
"104" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "E14w" 0.206349206349206 0.0594296320678809 0.00190128526884174 1 "Adult" "m" "red"
"134" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "E10w" 0.492063492063492 0.0265159827371809 0.0362004715187467 1 "Juvenile" "m" "red"
"184" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "A16w" 0.46031746031746 0.00431814302782045 0.0220549091185641 1 "Adult" "f" "red"
"194" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "E11w" 0.555555555555556 0.0790419002400569 0.0294699216670469 1 "Juvenile" "m" "red"
"264" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "E12w" 0.365079365079365 0.0279911247653183 0.0104950946840064 1 "Juvenile" "m" "red"
"293" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "T53b" 0.444444444444444 0.255251366656897 0.00467716176135067 1 "Adult" "m" "red"
"403" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "A29w" 0.222222222222222 0.0109212322922 0.0189368012776637 1 "Adult" "f" "red"
"443" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "T66w" 0.301587301587302 0.00443761734084315 0.0208000608411286 1 "Juvenile" NA "red"
"473" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "T15w" 0.26984126984127 0.0200110920541028 0.00266179937637843 0 "Adult" "f" "blue"
"492" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "A10w" 0.174603174603175 0.00417793860574198 0.00201536238497224 0 "Adult" NA "blue"
"502" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "T14w" 0.253968253968254 0.0317460317460317 0.012890714122747 0 "Adult" "m" "blue"
"552" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "E13w" 0.19047619047619 0.0128434886499403 0.0053616244581337 1 "Juvenile" "m" "red"
"572" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "E15w" 0.0634920634920635 0.0671616316777607 0.000266179937637843 1 "Adult" "m" "red"
"602" 5 "cofeeding_direct_2021_day_5_meters_25_window_21" "A58w" 0.0158730158730159 0 3.80257053768347e-05 1 "Juvenile" NA "red"
"4" 1 "cofeeding_direct_2022_day_1_meters_25_window_21" "T50b" 0.586666666666667 0.0361912076922219 0.00930718694007565 1 "Adult" "m" "red"
"16" 1 "cofeeding_direct_2022_day_1_meters_25_window_21" "E45w" 0.56 0.00328045692751575 0.0320525582321322 1 "Juvenile" "f" "red"
"24" 1 "cofeeding_direct_2022_day_1_meters_25_window_21" "E13w" 0.68 0.0175942462413051 0.0125671909217599 1 "Juvenile" "m" "red"
"26" 1 "cofeeding_direct_2022_day_1_meters_25_window_21" "J06w" 0.426666666666667 0.047928236350143 0.00714214612781206 0 "Adult" "f" "blue"
"34" 1 "cofeeding_direct_2022_day_1_meters_25_window_21" "J17w" 0.786666666666667 0.0336529897138416 0.0323262990244874 1 "Juvenile" "m" "red"
"36" 1 "cofeeding_direct_2022_day_1_meters_25_window_21" "E17w" 0.573333333333333 0.0203493094395731 0.00614672506470237 1 "Adult" "m" "red"
"622" 1 "cofeeding_direct_2022_day_1_meters_25_window_21" "E38w" 0.32 0.00151013351013351 0.00447939478399363 1 "Juvenile" "m" "red"
"410" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "A55w" 0.530120481927711 0.00357265298126303 0.00838916138294054 0 "Adult" "m" "blue"
"510" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "A56w" 0.590361445783133 0.0125808534528781 0.00879291781313554 0 "Adult" "m" "blue"
"610" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "E10w" 0.710843373493976 0.00310755215985895 0.0160754874985046 1 "Juvenile" "m" "red"
"85" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "E33w" 0.530120481927711 0 0.00840411532479962 0 "Adult" "f" "blue"
"121" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "E47w" 0.590361445783133 1.83661475168969e-05 0.0129351597080991 1 "Juvenile" "f" "red"
"1311" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "J00w" 0.686746987951807 0.0528160190774061 0.0144754157195837 0 "Juvenile" "m" "blue"
"141" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "J11w" 0.795180722891566 0.00500008815098442 0.0172119870797942 1 "Adult" "m" "red"
"1611" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "J17w" 0.72289156626506 0.0108109663869288 0.0183036248355066 1 "Juvenile" "m" "red"
"191" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "T19b" 0.783132530120482 0 0.0433365235075966 1 "Adult" "m" "red"
"221" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "Y27b" 0.783132530120482 0 0.0373699007058261 1 "Juvenile" NA "red"
"251" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "A31w" 0.566265060240964 0.000477297215469416 0.0228047613350879 0 "Juvenile" "m" "blue"
"261" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "E06w" 0.63855421686747 0 0.0202177293934681 1 "Adult" "m" "red"
"291" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "J31w" 0.614457831325301 0.00223402320081721 0.0216832156956574 1 "Adult" "m" "red"
"3011" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "J39w" 0.759036144578313 0.100052465329427 0.00632551740638832 1 "Juvenile" "m" "red"
"3311" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "Y26b" 0.746987951807229 0 0.0164194281612633 0 "Juvenile" "f" "blue"
"341" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "A53w" 0.385542168674699 0.0457925408740866 0.00602643856920684 0 "Juvenile" NA "blue"
"3511" 2 "cofeeding_direct_2022_day_2_meters_25_window_21" "T14w" 0.55421686746988 0.00107258301498678 0.0210701040794353 1 "Adult" "m" "red"
