"day" "sampling_date" "id" "degree" "betweenness" "strength" "infection" "age" "sex" "color"
"2" 1 "coroosting_indirect_2021_day_1_meters_100_window_14" "A05w" 0.925925925925926 0.0740740740740741 0.0536666666666667 1 "Adult" NA "red"
"19" 1 "coroosting_indirect_2021_day_1_meters_100_window_14" "A15w" 0.777777777777778 0 0.0653333333333333 1 "Adult" "m" "red"
"110" 2 "coroosting_indirect_2021_day_2_meters_100_window_14" "A03w" 0.895833333333333 0 0.0353389385181293 1 "Adult" "f" "red"
"610" 2 "coroosting_indirect_2021_day_2_meters_100_window_14" "Y27b" 0.8125 0.002024231678487 0.0280478192327903 1 "Juvenile" NA "red"
"411" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "E02w" 0.714285714285714 0.000162180814354727 0.0306603773584906 1 "Adult" NA "red"
"73" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "A02w" 0.614285714285714 0.0236416983892918 0.00686736958934517 1 "Juvenile" NA "red"
"82" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "A03w" 0.742857142857143 0.00599798809352462 0.0208102108768036 1 "Adult" "f" "red"
"102" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "A08w" 0.757142857142857 0.0800971112166839 0.00957269700332963 1 "Juvenile" NA "red"
"122" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "A31w" 0.771428571428571 0.00343292225283804 0.0209489456159822 1 "Juvenile" "m" "red"
"132" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "A33w" 0.685714285714286 0.00551042179278371 0.0144977802441731 1 "Juvenile" NA "red"
"142" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "A39w" 0.771428571428571 0.0304978835845163 0.0145671476137625 1 "Juvenile" "m" "red"
"152" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "A53w" 0.828571428571429 0.00519487573212072 0.023515538290788 0 "Juvenile" NA "blue"
"182" 3 "coroosting_indirect_2021_day_3_meters_100_window_14" "E00w" 0.842857142857143 0.013700379042106 0.0229605993340733 1 "Juvenile" "f" "red"
